Word,entropy with freq,duplicate_count,letter_freq_sum,first_letter_freq,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),mean_tries
brine,5.043220159792035,0,538,20,1,9,25,29,22,12,3,3.92
cloth,4.425409642973951,0,516,33,1,8,33,34,17,7,1,3.79
hoard,4.978589016826151,0,550,11,1,9,30,34,19,7,1,3.82
sweet,4.652524978291197,1,615,51,1,5,18,31,28,15,2,4.19
month,4.451684790603233,0,476,20,1,5,26,37,22,8,1,3.95
lapse,5.487720176275071,0,606,13,0,8,31,34,19,7,1,3.82
watch,4.117771376042325,0,460,11,1,6,14,18,17,24,20,3.56
today,4.891266007988543,0,537,30,1,7,29,35,20,7,1,3.84
focus,4.544127525779189,0,388,22,1,4,23,36,24,10,1,4.02
smelt,5.190697214165171,0,568,51,0,5,19,33,28,13,2,4.17
tease,5.277321647807872,1,744,30,1,16,32,30,16,6,1,3.65
cater,5.437894504992105,0,678,33,1,7,19,22,19,18,15,3.63
movie,4.568932591864615,0,498,20,1,5,18,30,26,16,3,4.11
saute,5.800877211145375,0,624,51,1,8,31,34,19,6,1,3.77
allow,3.890909669395852,1,546,28,0,5,21,32,26,14,3,4.15
renew,4.373143805436669,1,620,13,0,4,20,33,27,13,2,4.13
their,4.997307293602499,0,619,30,2,14,36,30,13,4,0,3.47
slosh,4.464222825488882,1,489,51,0,2,19,36,27,13,2,4.18
purge,4.691719422227635,0,497,23,1,4,22,35,26,11,2,4.11
chest,4.741837485396472,0,542,33,1,14,35,31,14,5,1,3.58
depot,4.85322136867976,0,565,12,0,5,29,36,20,7,1,3.83
epoxy,3.791638346025392,0,450,10,0,2,13,31,33,18,3,4.4
nymph,3.6074312176437706,0,338,6,1,2,18,44,26,26,9,5.21
found,4.221051823019366,0,372,22,1,6,17,22,20,21,14,3.78
shall,4.47742950472433,1,540,51,0,3,17,30,28,17,4,4.19
stove,4.930847928142465,0,559,51,0,5,16,24,27,21,6,4.15
lowly,3.5887650892612077,1,448,13,0,2,9,26,32,24,8,4.39
snout,5.089420475023273,0,502,51,1,4,19,27,26,18,5,4.12
trope,5.204614214744099,0,645,30,1,16,33,28,15,6,1,3.55
fewer,3.921556423124922,1,565,22,0,2,10,24,32,26,6,4.46
shawl,4.660804117501699,0,458,51,0,3,16,31,30,16,3,4.24
natal,4.523848273948498,1,648,6,0,2,14,32,32,17,3,4.36
comma,3.9050443385017872,1,473,33,0,2,13,33,33,17,3,4.42
foray,4.739373464412324,0,520,22,0,2,14,31,31,19,4,4.39
scare,5.637636613514638,0,635,51,1,12,23,26,21,13,4,3.81
stair,5.577625012265721,0,611,51,2,21,36,26,11,4,1,3.35
black,4.1378266545307625,0,408,20,1,10,31,34,18,6,1,3.76
squad,4.330359018256318,0,369,51,0,3,20,33,27,14,2,4.17
royal,5.033226199770232,0,599,13,1,5,24,36,23,9,1,3.96
chunk,3.723223705496992,0,328,33,1,4,29,42,18,5,1,3.84
mince,4.792828776064018,0,499,20,0,6,24,35,24,10,1,4.04
shame,5.284986230697579,0,555,51,1,11,22,25,21,15,5,3.84
cheek,3.845954943029028,1,544,33,0,3,19,40,28,9,1,4.17
ample,4.85337937189752,0,574,28,0,4,20,35,27,11,2,4.09
flair,4.796883149548039,0,539,22,1,8,30,36,18,6,1,3.77
foyer,4.717918127283912,0,545,22,0,2,10,19,19,23,26,3.43
cargo,4.831687656434311,0,548,33,0,5,20,34,27,12,2,4.13
oxide,4.2755056418775625,0,480,4,0,2,11,30,33,21,4,4.48
plant,4.838228683160171,0,553,23,2,19,39,28,10,3,0,3.37
olive,4.623662966748657,0,555,4,1,6,25,34,23,10,1,3.99
inert,5.0343436529670855,0,637,10,0,7,27,34,22,9,1,3.95
askew,4.598017895604836,0,495,28,0,3,13,29,32,19,4,4.35
heist,5.20333860262526,0,572,11,1,13,32,31,16,6,1,3.63
shown,4.448224707117253,0,408,51,0,6,26,36,22,8,1,3.92
zesty,4.434023773597183,0,467,1,0,2,12,27,30,22,7,4.3
trash,5.158160141938997,0,580,30,2,19,34,27,13,4,1,3.39
larva,4.16218942975518,1,589,13,0,2,10,25,35,23,4,4.47
forgo,3.6734443721930696,1,484,22,0,1,9,26,37,23,3,4.56
story,5.128156230791515,0,545,51,1,10,23,29,24,11,2,3.92
hairy,4.917948651279633,0,525,11,1,8,24,33,23,10,1,3.96
train,5.287311479880693,0,612,30,6,26,32,22,10,3,0,3.1
homer,4.938484911543591,0,576,11,0,3,16,26,24,19,12,3.92
badge,4.709751661365351,0,479,20,0,4,20,35,26,12,2,4.1
midst,4.719637972483362,0,427,20,0,3,25,39,24,9,1,4.11
canny,4.025367506075738,1,467,33,0,2,10,30,34,20,4,4.44
shine,5.311019566706845,0,530,51,1,14,32,30,17,6,1,3.66
gecko,4.247344665463656,0,474,17,0,2,16,38,29,12,2,4.21
farce,5.000648453396059,0,581,22,0,9,26,32,21,9,1,3.83
slung,4.631566218686278,0,402,51,0,2,16,37,31,13,2,4.33
tipsy,4.680939256696169,0,443,30,0,6,33,38,17,5,1,3.78
metal,5.180317014668057,0,640,20,1,10,31,34,18,7,1,3.82
yield,4.811493693802967,0,512,2,0,4,16,29,29,18,4,4.25
delve,4.051039359501105,1,559,12,0,2,14,32,33,16,2,4.35
being,4.525696172348835,0,455,20,0,4,22,37,26,10,1,4.12
scour,4.97426213977667,0,489,51,0,8,34,35,17,5,1,3.73
glass,4.640024820643821,1,496,17,0,4,19,33,27,14,3,4.16
gamer,5.097234788033237,0,583,17,1,4,17,28,26,18,6,4.1
scrap,5.058243878809569,0,515,51,1,9,28,34,20,8,1,3.87
money,4.947694851925793,0,521,20,1,7,26,36,21,8,1,3.9
hinge,4.632837240171994,0,494,11,0,5,25,37,22,9,2,3.97
album,4.230350055517689,0,421,28,0,5,26,35,24,9,1,4.02
vouch,3.6757603507687207,0,363,6,0,2,9,25,33,24,6,4.4
asset,4.994008364459988,1,647,28,0,7,28,34,21,8,1,3.87
tiara,4.827899150762441,1,683,30,0,8,36,33,17,6,1,3.77
crept,4.756509839531275,0,583,33,0,4,27,38,22,7,1,3.93
bayou,4.400460355268193,0,448,20,0,6,17,33,29,13,2,4.18
atoll,4.3275523312916295,1,646,28,0,6,28,36,21,8,1,3.93
manor,5.10381954678406,0,569,20,0,6,27,34,21,10,2,3.94
creak,4.895294174818795,0,583,33,0,5,21,32,25,14,3,4.1
showy,4.312539948320904,0,381,51,0,2,16,37,30,13,2,4.28
peach,4.673508568325412,0,548,23,1,13,38,32,13,3,0,3.52
froth,4.301071060204452,0,500,22,0,5,22,35,25,11,1,4.07
depth,4.467155567890598,0,502,12,0,6,28,39,20,6,1,3.88
gloom,3.69763440042276,1,484,17,0,2,14,35,35,13,1,4.39
flood,3.692666318572989,1,465,22,0,3,20,40,28,8,1,4.14
trait,4.664895700719042,1,654,30,0,6,22,35,24,11,2,4.04
girth,4.502955623041411,0,486,17,0,6,23,33,23,12,3,4.0
piety,4.801628519497281,0,540,23,0,4,25,41,22,7,1,3.99
goose,4.58523011820257,1,588,17,0,2,12,28,32,21,5,4.38
float,4.71254805717151,0,567,22,1,12,30,32,18,6,1,3.69
donor,4.309388521968451,1,542,12,0,3,27,38,23,7,1,3.96
atone,5.331345962728237,0,694,28,2,16,34,29,14,4,1,3.46
primo,4.602452866482084,0,487,23,0,3,22,38,25,10,2,4.09
apron,4.9271849928435625,0,578,28,0,7,30,38,19,5,1,3.81
blown,4.017164870506331,0,394,20,0,6,23,35,26,10,1,4.11
cacao,3.635745140170319,2,593,33,0,1,9,27,36,23,4,4.55
loser,5.656371735480511,0,650,13,1,10,28,32,19,8,2,3.76
input,4.219575552095203,0,447,10,0,5,30,38,21,6,1,3.93
gloat,4.889319700384614,0,585,17,0,8,21,31,26,12,2,4.05
awful,3.817274736465941,0,398,28,0,5,21,33,27,12,2,4.12
brink,4.278042550636114,0,389,20,0,4,22,41,24,7,1,4.0
smite,5.386444899796735,0,557,51,0,6,23,35,24,11,2,4.07
beady,4.767164451407599,0,489,20,0,3,19,39,29,10,1,4.24
rusty,4.817205769941887,0,476,13,0,9,37,34,13,5,1,3.6
retro,4.628278495264941,1,715,13,0,6,24,35,24,9,1,3.98
droll,4.195725664930252,1,545,12,0,2,16,31,31,17,3,4.33
gawky,3.824531214120796,0,336,17,0,1,5,22,33,28,10,4.38
hutch,3.269056420170636,1,405,11,0,1,12,28,28,21,9,4.16
pinto,4.733047981316856,0,516,23,0,5,25,41,22,6,1,3.95
egret,4.451713250527656,1,683,10,0,3,14,33,33,15,2,4.35
lilac,4.20025248054328,1,555,13,0,2,17,38,29,12,1,4.24
sever,4.653232281802048,1,614,51,0,2,13,27,29,21,7,4.22
field,4.604268094094353,0,484,22,1,6,25,36,23,9,1,4.01
fluff,2.354188047229581,2,275,22,0,0,4,25,44,23,4,4.7
agape,4.266301151026844,1,617,28,0,2,18,36,27,15,3,4.27
voice,4.5715306691441695,0,514,6,1,5,24,35,25,9,1,4.02
stead,5.466260417918574,0,614,51,1,6,20,27,28,16,3,4.17
berth,4.735943783365822,0,549,20,0,7,24,35,24,9,1,4.0
madam,3.4286863117798068,2,482,20,0,3,13,35,34,14,2,4.39
night,4.1506288488869005,0,440,6,1,8,27,27,17,13,7,3.69
bland,4.614901352457795,0,444,20,0,7,31,38,18,4,0,3.73
liver,4.764571862274652,0,556,13,0,4,16,26,25,20,8,4.05
wedge,3.7941900454795,1,503,11,0,2,11,32,37,17,2,4.52
roomy,4.022112321626625,1,516,13,0,2,17,41,28,10,2,4.19
wacky,3.891714078085296,0,356,11,0,3,18,39,27,10,2,4.11
flock,3.7951774134495455,0,384,22,0,4,22,37,27,9,1,4.11
angry,4.51259009683785,0,493,28,0,5,27,38,21,7,1,3.9
trite,4.748713470049855,1,679,30,0,4,14,22,22,23,15,3.86
aphid,4.345810414400543,0,448,28,0,6,24,36,23,9,2,3.97
tryst,4.156714152804128,1,542,30,0,3,26,41,23,6,1,3.99
midge,4.548011610117386,0,445,20,0,2,18,39,28,10,2,4.14
power,4.768002696094929,0,545,23,2,6,19,29,24,15,4,3.97
elope,4.472564136043252,1,677,10,0,4,22,32,26,13,2,4.1
cinch,3.524866670569528,1,401,33,0,2,15,24,22,25,13,4.05
motto,3.387227653641676,2,581,20,0,1,11,36,36,14,1,4.43
stomp,4.656124840880025,0,469,51,0,7,26,32,21,11,2,3.91
upset,4.959184824735237,0,529,8,0,5,30,38,20,6,1,3.88
bluff,2.937170936801928,1,273,20,0,2,14,42,31,10,1,4.29
cramp,4.466983521193892,0,483,33,1,8,26,33,19,10,2,3.82
quart,4.249851503370225,0,492,3,0,5,20,33,27,13,2,4.15
coyly,3.737045384757889,1,438,33,0,0,4,17,28,35,15,4.3
youth,4.315735413370771,0,458,2,1,5,17,31,29,15,3,4.21
rhyme,4.453912689617256,0,504,13,0,4,22,39,25,8,1,4.03
buggy,2.9996874780316256,1,258,20,0,1,9,29,34,22,5,4.47
alien,5.468534709527063,0,644,28,3,17,31,29,15,4,0,3.45
smear,5.5318998776679145,0,619,51,0,2,16,39,29,12,2,4.25
unfit,4.053808528052607,0,416,8,0,3,24,38,25,9,1,4.09
patty,4.080495195516196,1,544,23,0,2,16,39,29,12,1,4.25
cling,4.233173046015872,0,423,33,0,4,20,34,27,13,2,4.17
glean,4.964874242077138,0,594,17,0,6,23,37,24,8,1,3.97
label,4.5048207750229095,1,598,13,0,4,18,32,29,15,2,4.25
hunky,3.833364700913247,0,318,11,0,1,11,33,25,22,7,4.24
khaki,3.591004968730174,1,400,3,0,2,17,33,28,16,4,4.23
poker,4.870254080349424,0,550,23,0,4,17,30,27,17,5,4.16
gruel,4.881394007476661,0,545,17,0,3,19,39,29,9,1,4.18
twice,4.537932872555827,0,516,30,1,6,28,38,21,6,1,3.9
twang,4.182907842841803,0,458,30,0,3,22,43,25,7,1,4.11
shrug,4.542651144587614,0,406,51,0,4,23,36,26,10,1,4.11
treat,4.820825945418755,1,737,30,1,22,32,26,14,5,1,3.45
waste,5.307858812880289,0,590,11,1,7,19,27,24,17,5,4.02
merit,5.221042983004298,0,604,20,0,7,33,37,17,5,0,3.76
woven,4.2378884461004365,0,460,11,0,2,13,32,32,17,3,4.33
needy,4.224566203700203,1,571,6,0,2,21,41,26,9,1,4.15
clown,4.128156498264637,0,434,33,1,8,29,36,20,6,1,3.84
irony,4.775953753885976,0,517,10,0,6,29,34,21,8,1,3.88
ruder,4.330566993137535,1,570,13,0,2,16,33,29,16,4,4.25
gauze,4.347971471333056,0,463,17,0,2,11,24,31,25,8,4.38
chief,4.279690422645248,0,459,33,1,6,32,38,18,5,0,3.81
onset,5.361160882922093,0,622,4,0,4,29,40,21,6,1,3.96
prize,4.471892209709096,0,488,23,0,5,12,20,32,26,5,4.42
fungi,3.819289640213347,0,337,22,0,2,18,41,28,9,1,4.16
charm,4.408088021317094,0,489,33,1,12,32,34,16,5,1,3.67
gully,3.504254435831563,1,400,17,0,1,9,27,31,25,7,4.42
inter,5.126567325930318,0,637,10,0,6,25,36,23,8,1,3.94
whoop,3.2217913973263386,1,430,11,0,1,16,47,29,7,1,4.25
taunt,4.349797344911459,1,571,30,0,4,19,27,21,16,13,3.74
leery,4.592721672439416,1,675,13,0,3,17,37,28,12,2,4.17
class,4.740995327409262,1,516,33,0,4,21,32,22,13,7,3.87
theme,4.175697632893221,1,623,30,0,8,29,40,18,4,0,3.77
lofty,4.300834335320315,0,469,13,0,4,19,34,27,13,3,4.14
tibia,4.0990005753199386,1,522,30,0,1,14,40,30,12,2,4.26
booze,3.6615836845057226,1,486,20,0,1,7,27,38,23,4,4.59
alpha,3.908242241287984,1,564,28,0,3,19,40,28,9,1,4.17
thyme,4.361001574875012,0,500,30,1,5,24,41,23,5,0,3.92
doubt,4.365706246273472,0,412,12,1,12,32,34,16,4,0,3.61
parer,4.8192114550308345,1,675,23,0,0,4,11,15,22,48,2.63
chute,4.5447448781314135,0,519,33,0,11,37,36,12,3,0,3.55
stick,4.532104968325484,0,424,51,1,9,36,35,14,4,0,3.61
trice,5.195522051123522,0,620,30,0,5,24,25,18,17,11,3.74
alike,5.118546246174566,0,591,28,0,6,20,33,27,12,2,4.11
recap,5.006761135556998,0,612,13,0,5,30,35,21,8,1,3.93
saint,5.655642359291054,0,565,51,1,14,35,29,15,5,1,3.55
glory,4.53977154116116,0,491,17,0,6,30,39,19,5,0,3.83
grate,5.304788237499885,0,658,17,1,14,29,28,16,8,3,3.56
admit,4.614801090347192,0,499,28,0,10,25,34,22,8,1,3.89
brisk,4.54320198629038,0,388,20,0,5,23,38,24,7,1,3.93
soggy,4.000255928173762,1,383,51,0,2,18,38,28,11,2,4.16
usurp,3.722889686147028,1,413,8,0,3,21,38,26,9,1,4.05
scald,5.070892352942641,0,483,51,0,4,23,36,24,11,2,4.07
scorn,5.059276757729089,0,513,51,0,8,31,35,20,6,1,3.85
leave,4.439784027054376,1,664,13,0,4,16,34,31,12,1,4.19
twine,4.74824945172124,0,533,30,0,6,28,40,20,5,1,3.86
sting,4.741258911677159,0,457,51,1,10,30,33,18,8,2,3.81
bough,3.903473457822265,0,349,20,0,3,17,35,28,13,3,4.15
marxh,,0,426,20,0,9,30,35,19,6,1,3.79
sloth,5.052486156143453,0,532,51,1,10,38,34,13,3,0,3.54
dandy,4.048225981509244,1,416,12,0,2,11,23,29,24,11,4.18
vigor,4.182349989864699,0,444,6,0,2,15,35,31,14,2,4.28
howdy,3.841334669000742,0,348,11,0,2,13,32,32,17,4,4.33
enjoy,3.946499235557611,0,470,10,0,3,12,29,33,20,3,4.43
valid,4.580846014103876,0,451,6,0,4,28,38,21,8,1,3.97
ionic,3.917435201634218,1,494,10,0,2,13,25,28,21,11,4.09
equal,4.145372386122089,0,524,10,0,5,23,35,25,11,2,4.1
floor,3.904000545250141,1,545,22,0,3,23,44,24,6,0,4.07
catch,3.808067170805317,1,501,33,0,7,18,20,15,16,23,3.19
spade,5.353135948829006,0,548,51,1,8,29,36,19,6,1,3.79
stein,5.377481501402492,0,590,51,1,12,34,32,16,5,1,3.65
exist,4.465184488464706,0,510,10,0,5,24,38,23,8,1,3.97
quirk,3.658972568014021,0,339,3,0,3,23,39,24,9,2,4.05
denim,4.808191464944409,0,482,12,0,5,29,40,20,5,0,3.87
grove,4.485212856265863,0,527,17,0,4,18,30,28,17,3,4.24
spiel,5.419225182677665,0,548,51,0,7,32,36,19,6,1,3.85
mummy,2.554390936531955,2,290,20,0,1,4,14,27,37,18,4.27
fault,4.598284291033061,0,498,22,0,7,27,35,22,8,1,3.93
foggy,3.129802258025789,1,329,22,0,2,13,35,32,15,3,4.33
flout,4.294836140039832,0,472,22,0,6,28,37,21,7,1,3.91
carry,4.289594887246969,1,559,33,0,4,22,35,24,12,3,4.06
sneak,5.251526098454962,0,553,51,0,7,28,36,21,7,1,3.89
libel,4.269460762236531,1,540,13,0,3,15,32,32,16,2,4.35
waltz,4.015315501933648,0,436,11,0,2,11,29,35,19,3,4.42
aptly,4.564327125936903,0,526,28,0,3,26,41,23,7,1,4.05
piney,4.889254439734926,0,498,23,0,1,14,37,33,14,2,4.41
inept,4.667356071406402,0,567,10,0,6,30,39,20,6,1,3.94
aloud,4.839922519888227,0,522,28,1,18,31,30,15,4,1,3.49
photo,3.775606233854972,1,530,23,0,5,34,43,15,3,0,3.77
dream,5.060027515621887,0,586,12,5,14,31,29,15,4,1,3.41
stale,5.751408380504063,0,672,51,2,19,30,27,15,6,2,3.49
begin,4.52603058489623,0,455,20,0,6,26,36,23,7,1,3.91
spell,4.445304824412523,1,559,51,0,4,24,37,24,9,1,4.02
rainy,5.147087743202822,0,543,13,1,16,38,31,11,3,1,3.44
unite,4.959604967991536,0,567,8,1,11,31,33,18,5,1,3.68
medal,5.0244368025143125,0,564,20,0,5,25,38,23,8,1,4.0
valet,5.000924663230002,0,610,6,0,4,22,38,25,9,1,4.05
inane,4.552130731291402,1,620,10,0,8,25,30,21,13,3,3.94
maple,5.086251671159373,0,574,20,1,6,26,36,21,8,1,3.88
snarl,5.420133649270165,0,580,51,0,5,21,31,24,15,4,4.07
baker,4.942172333117167,0,543,20,0,5,16,23,24,22,10,4.02
there,4.551731780111364,1,702,30,0,14,35,33,14,4,0,3.59
glyph,3.649221279473267,0,358,17,0,2,23,49,20,5,1,3.99
avert,4.773344835298022,0,632,28,0,7,26,35,22,9,1,3.96
brave,4.6509029380371,0,533,20,1,6,17,27,27,18,5,4.15
axiom,4.091085797025396,0,456,28,0,5,19,33,27,13,3,4.12
prime,4.935958964427568,0,538,23,1,10,26,32,21,9,1,3.86
drive,4.6432821702446025,0,498,12,1,12,32,30,18,6,1,3.67
feast,5.192909907289926,0,593,22,5,13,25,27,19,10,2,3.69
itchy,3.868695835463784,0,433,10,0,8,28,40,18,5,1,3.8
clean,5.076108103276312,0,614,33,1,17,36,31,12,3,0,3.45
happy,3.629960177850044,1,418,11,0,6,28,39,19,6,1,3.83
tepid,4.863007670833671,0,533,30,0,10,38,35,13,3,0,3.57
undue,3.8533492590935103,1,454,8,0,3,19,35,29,13,2,4.26
study,4.564042610281186,0,396,51,0,6,30,33,19,10,2,3.89
eject,3.4575152634289554,1,573,10,0,2,11,35,36,14,2,4.41
chafe,4.432443171877233,0,517,33,0,6,30,33,19,9,2,3.83
torso,4.731411602666098,1,617,30,0,4,35,36,17,6,1,3.78
adore,5.316205955050214,0,664,28,2,17,32,29,15,5,1,3.53
woken,4.467050317791038,0,470,11,0,2,10,25,36,23,4,4.52
amber,4.874845620347111,0,563,28,0,6,22,33,24,12,3,4.02
joust,4.309680441733637,0,418,2,0,6,29,34,21,8,2,3.88
infer,4.627212869609783,0,540,10,0,3,19,33,26,14,3,4.09
braid,4.903308796897351,0,479,20,0,10,36,35,14,3,0,3.56
knock,3.3516333185032154,1,362,3,0,3,18,43,27,8,1,4.15
naïve,,0,457,6,1,7,24,32,24,11,1,4.01
apply,3.759582713233449,1,460,28,0,5,28,38,22,7,1,3.98
spoke,5.019073033242195,0,503,51,0,6,31,38,19,5,0,3.82
usual,4.155966162947415,1,486,8,0,3,20,39,27,10,1,4.17
rival,4.645543077221008,0,531,13,0,7,27,35,22,8,1,3.93
probe,4.850830076064433,0,546,23,0,6,24,32,24,11,3,3.98
chord,4.418269423062089,0,462,33,0,7,39,38,13,3,0,3.66
taper,5.414818073561886,0,671,30,0,8,28,30,20,11,3,3.86
slate,5.872430217496517,0,672,51,6,14,33,27,13,5,1,3.36
third,4.614590997619433,0,489,30,1,10,47,32,9,2,0,3.47
lunar,5.025647167688728,0,557,13,0,5,32,40,17,4,0,3.75
excel,3.5996027927914307,1,559,10,0,1,13,34,34,15,2,4.37
aorta,4.837007000099439,1,715,28,0,7,26,35,20,10,3,3.92
poise,5.407526374667958,0,569,23,2,11,34,32,15,6,1,3.65
extra,4.472400905458877,0,615,10,1,5,20,35,28,10,1,4.11
judge,3.766190296704447,0,357,2,0,2,8,16,26,33,14,4.2
condo,3.926871600960631,1,479,33,0,2,17,35,29,14,3,4.24
impel,4.599767645405228,0,516,10,0,3,21,40,25,9,1,4.08
havoc,4.037979323496683,0,458,11,0,2,16,38,30,12,2,4.26
molar,5.142052549148611,0,593,20,0,4,21,38,26,9,1,4.07
manly,4.751313611535919,0,475,20,0,2,17,37,29,12,2,4.2
